   0	5.700000e-01	4.620000e-01	9.904208e-02
   1	5.700000e-01	3.190000e-01	1.976251e-01
   2	6.100000e-01	3.466667e-01	2.061445e-01
   0	5.900000e-01	4.410000e-01	1.442995e-01
   1	5.900000e-01	3.740000e-01	1.808056e-01
   2	5.900000e-01	3.170000e-01	2.109210e-01
   3	5.900000e-01	2.383333e-01	2.259363e-01
   4	5.900000e-01	2.016667e-01	2.347067e-01
   5	5.900000e-01	1.870000e-01	2.304799e-01
   6	5.900000e-01	1.463333e-01	2.317539e-01
   7	5.900000e-01    1.463333e-01    2.317539e-01
   8	5.900000e-01    1.463333e-01    2.317539e-01
   9	5.900000e-01    1.463333e-01    2.317539e-01
  10	5.900000e-01    1.463333e-01    2.317539e-01	
